ID,accepteret_dansk_navn,species,wcvp_species,gbif_species
4349,Rød ledtang,Polysiphonia kieliana,,Polysiphonia kieliana
4350,Filtet ledtang,Polysiphonia orthocarpa,,Polysiphonia orthocarpa
4351,Fin ledtang,Polysiphonia stricta,,Polysiphonia stricta
4352,Glat skjoldbregne,Polystichum aculeatum,Polystichum aculeatum,Polystichum aculeatum
4353,Håret skjoldbregne,Polystichum braunii,Polystichum braunii,Polystichum braunii
4354,Takbregne,Polystichum lonchitis,Polystichum lonchitis,Polystichum lonchitis
4355,Børste-skjoldbregne,Polystichum setiferum,Polystichum setiferum,Polystichum setiferum
4356,Grenet jomfrukapsel,Polytrichastrum alpinum,,Polytrichastrum alpinum
4357,Almindelig jomfruhår,Polytrichum commune,,Polytrichum commune
4358,NA,Polytrichum commune var. commune,,Polytrichum commune
4359,NA,Polytrichum commune var. perigonale,,Polytrichum perigoniale
4360,Skov-jomfruhår,Polytrichum formosum,Polystichum formosum,Polytrichum formosum
4361,Ene-jomfruhår,Polytrichum juniperinum,,Polytrichum juniperinum
4362,Mose-jomfruhår,Polytrichum longisetum,,Polytrichum longisetum
4363,Hårspidset jomfruhår,Polytrichum piliferum,Polystichum proliferum,Polytrichum piliferum
4364,Filtstænglet jomfruhår,Polytrichum strictum,,Polytrichum strictum
4365,Tvedelt jomfruhår,Polytrichum swartzii,,Polytrichum swartzii
4366,Blå vandhyacint,Pontederia cordata,Pontederia cordata,Pontederia cordata
4367,Berliner-poppel,Populus ×berolinensis,Populus x berolinensis,Populus berolinensis
4368,Canadisk poppel,Populus ×canadensis,,Populus canadensis
4369,NA,Populus ×canadensis 'Eugenei',,NA
4370,Landevejs-poppel,Populus ×canadensis 'Marilandica',,NA
4371,NA,Populus ×canadensis 'Regenerata',,NA
4372,NA,Populus ×canadensis 'Robusta',,NA
4373,Landevejs-poppel × sort-poppel,Populus ×canadensis 'Serotina',,NA
4374,NA,Populus ×candicans,Populus balsamifera,NA
4375,Grå-poppel,Populus ×canescens,Populus x canescens,Populus canescens
4376,Engelsk poppel,Populus ×generosa,Populus x generosa,Populus jackii
4377,Ontarisk poppel,Populus ×jackii,Populus x ontariensis,Populus jackii
4378,Hybridasp,Populus ×wettsteinii,Populus x wettsteinii,Populus wettsteinii
4379,Sølv-poppel,Populus alba,Populus alba,Populus alba
4380,Balsam-poppel,Populus balsamifera,Populus balsamifera,Populus balsamifera
4381,Balsam-poppel × vestamerikansk balsam-poppel,Populus balsamifera × trichocarpa,Populus balsamifera,NA
4382,Jämtlands-poppel,Populus balsamifera 'Elongata',Populus balsamifera,NA
4383,NA,Populus balsamifera 'Hortensis',Populus balsamifera,NA
4384,Virginsk poppel,Populus deltoides,Populus deltoides,Populus deltoides
4385,Tandet asp,Populus grandidentata,Populus grandidentata,Populus grandidentata
4386,Korea-poppel,Populus koreana,Populus suaveolens,Populus suaveolens
4387,NA,Populus lasiocarpa,Populus lasiocarpa,Populus lasiocarpa
4388,Laurbær-poppel,Populus laurifolia,Populus laurifolia,Populus laurifolia
4389,Østasiatisk balsam-poppel,Populus maximowiczii,Populus suaveolens,Populus suaveolens
4390,Sort-poppel,Populus nigra,Populus nigra,Populus nigra
4391,Pyramide-poppel,Populus nigra 'Italica',Populus nigra,NA
4392,NA,Populus nigra 'Plantierensis',Populus nigra,NA
4393,Kinesisk poppel,Populus simonii,Populus simonii,Populus simonii
4394,Bævreasp,Populus tremula,Populus tremula,Populus tremula
4395,NA,Populus tremula f. gigas,Populus tremula,Populus tremula
4396,NA,Populus tremula f. tremula,Populus tremula,Populus tremula
4397,NA,Populus tremula f. villosa,Populus tremula,Populus tremula
4398,Amerikansk asp,Populus tremuloides,Populus tremuloides,Populus tremuloides
4399,Vestamerikansk poppel,Populus trichocarpa,Populus tristis,Populus trichocarpa
4400,Peber-skælryg,Porella arboris-vitae,,Porella arboris-vitae
4401,Bæk-skælryg,Porella cordaeana,,Porella cordaeana
4402,Almindelig skælryg,Porella platyphylla,,Porella platyphylla
4403,Smal purpurhinde,Porphyra linearis,,Porphyra linearis
4404,NA,Porphyra miniata,,Wildemania miniata
4405,Rød purpurhinde,Porphyra purpurea,,Porphyra purpurea
4406,Navle-purpurhinde,Porphyra umbilicalis,,Porphyra umbilicalis
4407,Blå purpurkugle,Porphyridium aerugineum,,Porphyridium aerugineum
4408,Almindelig purpurkugle,Porphyridium purpureum,,Porphyridium purpureum
4409,Rosenhinde,Porphyropsis coccinea,,Porphyropsis coccinea
4410,NA,Portulaca granulatostellulata,Portulaca granulatostellulata,Portulaca granulatostellulata
4411,Portulak,Portulaca oleracea,Portulaca oleracea,Portulaca oleracea
4412,Vild portulak,Portulaca oleracea subsp. oleracea,Portulaca oleracea,Portulaca oleracea
4413,Have-portulak,Portulaca oleracea subsp. sativa,Portulaca oleracea,NA
4414,Spidsbladet vandaks,Potamogeton acutifolius,Potamogeton acutifolius,Potamogeton acutifolius
4415,Spidsbladet × bændel-vandaks,Potamogeton acutifolius × compressus,Potamogeton acutifolius,NA
4416,Rust-vandaks,Potamogeton alpinus,Potamogeton alpinus,Potamogeton alpinus
4417,Rust-vandaks × kruset vandaks,Potamogeton alpinus × crispus,Potamogeton alpinus,NA
4418,Rust-vandaks × svømmende vandaks,Potamogeton alpinus × natans,Potamogeton alpinus,NA
4419,Rust-vandaks (submers form),Potamogeton alpinus f. submersus,Potamogeton alpinus,Potamogeton alpinus
4420,Liden vandaks,Potamogeton berchtoldii,Potamogeton berchtoldii,Potamogeton berchtoldii
4421,Liden vandaks × bændel-vandaks,Potamogeton berchtoldii × compressus,Potamogeton berchtoldii,NA
4422,Liden vandaks × brodbladet vandaks,Potamogeton berchtoldii × friesii,Potamogeton berchtoldii,NA
4423,Liden vandaks × spinkel vandaks,Potamogeton berchtoldii × pusillus,Potamogeton berchtoldii,NA
4424,Liden vandaks × hårfin vandaks,Potamogeton berchtoldii × trichoides,Potamogeton berchtoldii,NA
4425,Vejbred-vandaks,Potamogeton coloratus,Potamogeton coloratus,Potamogeton coloratus
4426,Vejbred-vandaks (submers form),Potamogeton coloratus f. submersus,Potamogeton coloratus,Potamogeton coloratus
4427,Bændel-vandaks,Potamogeton compressus,Potamogeton compressus,Potamogeton compressus
4428,Bændel-vandaks × butbladet vandaks,Potamogeton compressus × obtusifolius,Potamogeton compressus,NA
4429,Bændel-vandaks × hårfin vandaks,Potamogeton compressus × trichoides,Potamogeton compressus,NA
4430,Kruset vandaks,Potamogeton crispus,Potamogeton crispus,Potamogeton crispus
4431,Kruset vandaks × græsbladet vandaks,Potamogeton crispus × gramineus,Potamogeton crispus,NA
4432,Kruset vandaks × hjertebladet vandaks,Potamogeton crispus × perfoliatus,Potamogeton crispus,NA
4433,Kruset vandaks × langbladet vandaks,Potamogeton crispus × praelongus,Potamogeton crispus,NA
4434,Brodbladet vandaks,Potamogeton friesii,Potamogeton friesii,Potamogeton friesii
4435,Brodbladet vandaks × spinkel vandaks,Potamogeton friesii × pusillus,Potamogeton friesii,NA
4436,Græsbladet vandaks,Potamogeton gramineus,Potamogeton gramineus,Potamogeton gramineus
4437,Græsbladet vandaks × glinsende vandaks,Potamogeton gramineus × lucens,Potamogeton gramineus,NA
4438,Græsbladet vandaks × svømmende vandaks,Potamogeton gramineus × natans,Potamogeton gramineus,NA
4439,Græsbladet vandaks × hjertebladet vandaks,Potamogeton gramineus × perfoliatus,Potamogeton gramineus,NA
4440,Græsbladet vandaks (submers form),Potamogeton gramineus f. submersus,Potamogeton gramineus,Potamogeton gramineus
4441,Glinsende vandaks,Potamogeton lucens,Potamogeton lucens,Potamogeton lucens
4442,Glinsende vandaks × svømmende vandaks,Potamogeton lucens × natans,Potamogeton lucens,NA
4443,Glinsende vandaks × hjertebladet vandaks,Potamogeton lucens × perfoliatus,Potamogeton lucens,NA
4444,Glinsende vandaks × langbladet vandaks,Potamogeton lucens × praelongus,Potamogeton lucens,NA
4445,Svømmende vandaks,Potamogeton natans,Potamogeton natans,Potamogeton natans
4446,Svømmende vandaks × langbladet vandaks,Potamogeton natans × praelongus,Potamogeton natans,NA
4447,Svømmende vandaks (submers form),Potamogeton natans f. submersus,Potamogeton natans,Potamogeton natans
4448,Butbladet vandaks,Potamogeton obtusifolius,Potamogeton obtusifolius,Potamogeton obtusifolius
4449,Hjertebladet vandaks,Potamogeton perfoliatus,Potamogeton perfoliatus,Potamogeton perfoliatus
4450,Hjertebladet vandaks × langbladet vandaks,Potamogeton perfoliatus × praelongus,Potamogeton perfoliatus,NA
4451,Aflangbladet vandaks,Potamogeton polygonifolius,Potamogeton polygonifolius,Potamogeton polygonifolius
4452,Aflangbladet vandaks (submers form),Potamogeton polygonifolius f. submersus,Potamogeton polygonifolius,Potamogeton polygonifolius
4453,Langbladet vandaks,Potamogeton praelongus,Potamogeton praelongus,Potamogeton praelongus
4454,Spinkel vandaks,Potamogeton pusillus,Potamogeton pusillus,Potamogeton pusillus
4455,Spinkel vandaks × hårfin vandaks,Potamogeton pusillus × trichoides,Potamogeton pusillus,NA
4456,Rødlig vandaks,Potamogeton rutilus,Potamogeton rutilus,Potamogeton rutilus
4457,Hårfin vandaks,Potamogeton trichoides,Potamogeton trichoides,Potamogeton trichoides
4458,NA,Potentilla acaulis,Potentilla acaulis,Potentilla acaulis
4459,Hvid potentil,Potentilla alba,Potentilla alba,Potentilla alba
4460,Liggende potentil,Potentilla anglica,Potentilla anglica,Potentilla anglica
4461,Liggende potentil × tormentil,Potentilla anglica × erecta,Potentilla anglica,NA
4462,Liggende potentil × krybende potentil,Potentilla anglica × reptans,Potentilla anglica,NA
4463,Sølv-potentil,Potentilla argentea,Potentilla argentea,Potentilla argentea
4464,Sølv-potentil × grå potentil,Potentilla argentea × incana,Potentilla argentea,NA
4465,NA,Potentilla argentea subsp. impolita,Potentilla inclinata,NA
4466,Lysegul sølv-potentil,Potentilla argentea var. acutifida,Potentilla neglecta,NA
4467,Almindelig sølv-potentil,Potentilla argentea var. argentea,Potentilla argentea,Potentilla argentea
4468,Glat sølv-potentil,Potentilla argentea var. demissa,Potentilla argentea,Potentilla argentea
4469,Fliget sølv-potentil,Potentilla argentea var. dissecta,Potentilla neglecta,Potentilla neglecta
4470,Håret sølv-potentil,Potentilla argentea var. incanescens,Potentilla neglecta,Potentilla neglecta
4471,Rød potentil,Potentilla atrosanguinea,Potentilla atrosanguinea,Potentilla argyrophylla
4472,Tormentil,Potentilla erecta,Potentilla erecta,Potentilla erecta
4473,Tormentil × krybende potentil,Potentilla erecta × reptans,Potentilla erecta,NA
4474,Mat potentil,Potentilla heptaphylla,Potentilla heptaphylla,Potentilla heptaphylla
4475,Håret sølv-potentil,Potentilla impolita,Potentilla inclinata,Potentilla inclinata
4476,Grå potentil,Potentilla incana,Potentilla incana,Potentilla incana
4477,Filtet potentil,Potentilla inclinata,Potentilla inclinata,Potentilla inclinata
4478,Indisk jordbær,Potentilla indica,Potentilla indica,Potentilla indica
4479,Småblomstret potentil,Potentilla intermedia,Potentilla intermedia,Potentilla intermedia
4480,Sølvhåret bakke-potentil,Potentilla leucopolitana,Potentilla leucopolitana,Potentilla leucopolitana
4481,Kortstilket potentil,Potentilla micrantha,Potentilla micrantha,Potentilla micrantha
4482,Smuk sølv-potentil,Potentilla neglecta,Potentilla neglecta,Potentilla neglecta
4483,Norsk potentil,Potentilla norvegica,Potentilla norvegica,Potentilla norvegica
4484,Fågrenet potentil,Potentilla norvegica subsp. hirsuta,Potentilla norvegica,Potentilla norvegica
4485,Norsk potentil (underart),Potentilla norvegica subsp. norvegica,Potentilla norvegica,Potentilla norvegica
4486,Rank potentil,Potentilla recta,Potentilla recta,Potentilla recta
4487,Krybende potentil,Potentilla reptans,Potentilla reptans,Potentilla reptans
4488,NA,Potentilla rubricaulis,Potentilla rubricaulis,Potentilla rubricaulis
4489,Jordbær-potentil,Potentilla sterilis,Potentilla sterilis,Potentilla sterilis
4490,NA,Potentilla sterneri,,Potentilla sterneri
4491,Grå potentil,Potentilla subarenaria,Potentilla subarenaria,Potentilla subarenaria
4492,Lav potentil,Potentilla supina,Potentilla supina,Potentilla supina
4493,Tysk potentil,Potentilla thuringiaca,Potentilla thuringiaca,Potentilla thuringiaca
4494,NA,Potentilla thuringiaca subsp. goldbachii,Potentilla thuringiaca,Potentilla thuringiaca
4495,Vår-potentil,Potentilla verna,Potentilla verna,Potentilla verna
4496,Bibernelle,Poterium sanguisorba,Sanguisorba minor,Poterium sanguisorba
4497,Vingefrøet bibernelle,Poterium sanguisorba subsp. balearicum,Sanguisorba minor,Poterium sanguisorba
4498,Blodstillende bibernelle,Poterium sanguisorba subsp. sanguisorba,Sanguisorba minor,Poterium sanguisorba
4499,Bånd-persillealge,Prasiola calophylla,,Prasiola calophylla
4500,NA,Prasiola furfuracea,,Prasiola furfuracea
4501,Stilket persillealge,Prasiola stipitata,,Prasiola stipitata
4502,Almindelig kvadratmos,Preissia quadrata,,Marchantia quadrata
4503,Hængekurv,Prenanthes purpurea,Prenanthes purpurea,Prenanthes purpurea
4504,NA,Primula ×pruhoniciana,,Primula pruhoniciana
4505,Fladkravet kodriver,Primula elatior,Primula elatior,Primula elatior
4506,Fladkravet kodriver × hulkravet kodriver,Primula elatior × veris,Primula elatior,NA
4507,Fladkravet kodriver × storblomstret kodriver,Primula elatior × vulgaris,Primula elatior,NA
4508,Melet kodriver,Primula farinosa,Primula farinosa,Primula farinosa
4509,Have-aurikel,Primula helenae × vulgaris,Primula angustifolia,Primula angustifolia
4510,Hulkravet kodriver,Primula veris,Primula veris,Primula veris
4511,Hulkravet kodriver × storblomstret kodriver,Primula veris × vulgaris,Primula veris,NA
4512,NA,Primula veris var. rubriflora,Primula veris,Primula veris
4513,Storblomstret kodriver,Primula vulgaris,Primula vulgaris,Primula vulgaris
4514,Gemsehorn,Proboscidea louisianica,Proboscidea louisianica,Proboscidea louisianica
4515,Mesquitetræ,Prosopis juliflora,Neltuma juliflora,Prosopis juliflora
4516,Vattråd,Protectocarpus speciosus,,Protectocarpus speciosus
4517,Lukket bægermos,Protobryum bryoides,,Tortula protobryoides
4518,Bølget forårssalat,Protomonostroma undulatum,,Protomonostroma undulatum
4519,Storblomstret brunelle,Prunella grandiflora,Prunella grandiflora,Prunella grandiflora
4520,Storblomstret brunelle × almindelig brunelle,Prunella grandiflora × vulgaris,Prunella grandiflora,NA
4521,Fligetbladet brunelle,Prunella laciniata,Prunella laciniata,Prunella laciniata
4522,Almindelig brunelle,Prunella vulgaris,Prunella vulgaris,Prunella vulgaris
4523,NA,Prunus ×gondouini,Prunus x gondouinii,Prunus gondouinii
4524,Fugle-kirsebær,Prunus avium,Prunus avium,Prunus avium
4525,Fugle-kirsebær × sur-kirsebær,Prunus avium × cerasus,Prunus avium,NA
4526,Mirabel,Prunus cerasifera,Prunus cerasifera,Prunus cerasifera
4527,Mirabel × kræge,Prunus cerasifera × domestica subsp. insititia,Prunus cerasifera,NA
4528,Mirabel × slåen,Prunus cerasifera × spinosa,Prunus cerasifera,NA
4529,Sur-kirsebær,Prunus cerasus,Prunus cerasus,Prunus cerasus
4530,Blomme,Prunus domestica,Prunus domestica,Prunus domestica
4531,Blomme (underart),Prunus domestica subsp. domestica,Prunus domestica,Prunus domestica
4532,Blomme × slåen,Prunus domestica subsp. domestica × spinosa,Prunus domestica,NA
4533,Kræge,Prunus domestica subsp. insititia,Prunus insititia,Prunus domestica
4534,Kræge × slåen,Prunus domestica subsp. insititia × spinosa,Prunus insititia,NA
4535,Laurbærkirsebær,Prunus laurocerasus,Prunus laurocerasus,Prunus laurocerasus
4536,Weichsel,Prunus mahaleb,Prunus mahaleb,Prunus mahaleb
4537,Almindelig hæg,Prunus padus,Prunus padus,Prunus padus
4538,NA,Prunus padus subsp. borealis,Prunus padus,Prunus padus
4539,NA,Prunus padus subsp. padus,Prunus padus,Prunus padus
4540,Fersken,Prunus persica,Prunus persica,Prunus persica
4541,Glansbladet hæg,Prunus serotina,Prunus serotina,Prunus serotina
4542,Slåen,Prunus spinosa,Prunus spinosa,Prunus spinosa
4543,Virginsk hæg,Prunus virginiana,Prunus virginiana,Prunus virginiana
4544,Have-knopurt,Psephellus dealbatus,Psephellus dealbatus,Psephellus dealbatus
4545,Hydroide-grøngryn,Pseudendoclonium dynamenae,,Pseudendoclonium dynamenae
4546,Klørtangs grøngryn,Pseudendoclonium fucicola,,Pseudendoclonium fucicola
4547,Pæle-grøngryn,Pseudendoclonium submarinum,,Pseudendoclonium submarinum
4548,Jord-nøgenmos,Pseudephemerum nitidum,,Pseudephemerum nitidum
4549,Tvekønnet spindmos,Pseudoamblystegium subtile,,Pseudoamblystegium subtile
4550,Sortstænglet sumpmos,Pseudobryum cinclidioides,,Pseudobryum cinclidioides
4551,Orm-skebladsmos,Pseudocalliergon trifarium,,Drepanocladus trifarius
4552,Stor krybmos,Pseudocampylium radicale,,Pseudocampylium radicale
4553,Spids rullerand,Pseudocrossidium hornschuchianum,,Pseudocrossidium hornschuchianum
4554,Skrue-rullerand,Pseudocrossidium revolutum,,Pseudocrossidium revolutum
4555,NA,Pseudodictyosphaerium elegans,,Mychonastes elegans
4556,NA,Pseudodidymocystis fina,,Didymocystis fina
4557,NA,Pseudodidymocystis planctonica,,Pseudodidymocystis planctonica
4558,Hvidgul lærkespore,Pseudofumaria alba,Pseudo-fumaria alba,Pseudofumaria alba
4559,Gul lærkespore,Pseudofumaria lutea,Pseudo-fumaria lutea,Pseudofumaria lutea
4560,Gulhvid evighedsblomst,Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum,Helichrysum luteoalbum
4561,NA,Pseudokirchneriella contorta,,Raphidocelis danubiana
4562,NA,Pseudokirchneriella elongata,,Pseudokirchneriella elongata
4563,Mat mørkmos,Pseudoleskeella nervosa,,Pseudoleskeella nervosa
4564,NA,Pseudopediastrum boryanum,,Pseudopediastrum boryanum
4565,NA,Pseudopediastrum kawraiskyi,,Pseudopediastrum kawraiskyi
4566,Hvid sækspore,Pseudorchis albida,Pseudorchis albida,Pseudorchis albida
4567,Japansk bambus,Pseudosasa japonica,Pseudosasa japonica,Pseudosasa japonica
4568,Hulbladet fedtmos,Pseudoscleropodium purum,,Pseudoscleropodium purum
4569,NA,Pseudoscourfieldia marina,,Pseudoscourfieldia marina
4570,NA,Pseudosphaerocystis lacustris,,Pseudosphaerocystis lacustris
4571,Skinnende ynglegren,Pseudotaxiphyllum elegans,,Pseudotaxiphyllum elegans
4572,Douglasgran,Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga menziesii
4573,Blå douglasgran,Pseudotsuga menziesii subsp. glaucescens,Pseudotsuga menziesii,Pseudotsuga menziesii
4574,Grøn douglasgran,Pseudotsuga menziesii subsp. menziesii,Pseudotsuga menziesii,Pseudotsuga menziesii
4575,NA,Psychine stylosa,Psychine stylosa,Psychine stylosa
4576,NA,Psylliostachys spicata,Psylliostachys spicatus,Psylliostachys spicatus
4577,Ørnebregne,Pteridium aquilinum,Pteridium aquilinum,Pteridium aquilinum
4578,Almindelig ørnebregne,Pteridium aquilinum subsp. aquilinum,Pteridium aquilinum,Pteridium aquilinum
4579,Nordlig ørnebregne,Pteridium aquilinum subsp. latiusculum,Pteridium latiusculum,Pteridium aquilinum
4580,Tråd-rebmos,Pterigynandrum filiforme,,Pterigynandrum filiforme
4581,Kaukasisk vingevalnød,Pterocarya fraxinifolia,Pterocarya fraxinifolia,Pterocarya fraxinifolia
4582,Tæt fugleklomos,Pterogonium gracile,,Nogopterium gracile
4583,NA,Pteromonas aculeata,,Pteromonas aculeata
4584,NA,Pteromonas angulosa,,Pteromonas angulosa
4585,Havdun,Pterothamnion plumula,,Pterothamnion plumula
4586,Langhåret vingenerve,Pterygoneurum ovatum,,Pterygoneurum ovatum
4587,Almindelig frynsemos,Ptilidium ciliare,,Ptilidium ciliare
4588,Stub-frynsemos,Ptilidium pulcherrimum,,Ptilidium pulcherrimum
4589,Fjer-kammos,Ptilium crista-castrensis,,Ptilium crista-castrensis
4590,Fjertang,Ptilota gunneri,,Ptilota gunneri
4591,Mangebladet foldhætte,Ptychomitrium polyphyllum,,Ptychomitrium polyphyllum
4592,Slap annelgræs,Puccinellia capillaris,Puccinellia distans,Puccinellia distans
4593,Slap annelgræs × udspærret annelgræs,Puccinellia capillaris × distans,Puccinellia distans,NA
